Código,Tipo,Liquidación,Fecha,Hora,Moneda,Variación,Último Pcio.,Apertura,Cierre Ant.,Pcio. Máx.,Pcio. Mín.,V.Nominal,Mto. Negoc.,OP
,SF6C,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$0,07","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,SF6X,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$102,50","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,SF6X,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$102,89","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,SN5C,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$0,07","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,SN5C,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$0,08","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,SN5D,LETRAS TESORO NAC,Inmed.,28/10/2025 13:25,Dólar Estadounidense,"-2,40%","$0,08","$0,08","$0,08","$0,08","$0,08",V$9.036.950,$7.408,30
,,,,,,,,,,,,,,
,SN5D,LETRAS TESORO NAC,24 hs.,28/10/2025 16:12,Dólar Estadounidense,"-1,21%","$0,08","$0,08","$0,08","$0,08","$0,08",V$1.148.751,$942,10
,,,,,,,,,,,,,,
,SN5X,LETRAS TESORO NAC,Inmed.,28/10/2025 16:01,Pesos Argentinos,"0,00%","$120,45","$0,00","$120,50","$123,59","$120,00",V$33.702.791.279,$40.616.546.535,11
,,,,,,,,,,,,,,
,SN5X,LETRAS TESORO NAC,24 hs.,28/10/2025 15:21,Pesos Argentinos,"0,00%","$120,87","$0,00","$120,67","$120,87","$119,65",V$24.389.747.927,$29.426.635.377,5
,,,,,,,,,,,,,,
,SN5Y,LETRAS TESORO NAC,Inmed.,28/10/2025 12:12,Dólar Estadounidense,"0,00%","$0,08","$0,00","$0,08","$0,08","$0,08",V$361.445.784,$300.000,1
,,,,,,,,,,,,,,
,SN5Y,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Estadounidense,"0,00%","$0,00","$0,00","$0,07","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,SN5Z,LETRAS TESORO NAC,Inmed.,28/10/2025 13:09,Dólar Cable,"0,00%","$0,08","$0,00","$0,08","$0,08","$0,08",V$1.190.151.784,$971.252,2
,,,,,,,,,,,,,,
,SN5Z,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$0,08","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,SO5C,LETRAS TESORO NAC,Inmed.,28/10/2025 16:41,Dólar Cable,"0,00%","$0,09","$0,00","$0,09","$0,09","$0,09",V$3.408.040.034,$3.104.697,10
,,,,,,,,,,,,,,
,SO5C,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$0,09","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,SO5D,LETRAS TESORO NAC,Inmed.,28/10/2025 17:00,Dólar Estadounidense,"0,00%","$0,09","$0,09","$0,09","$0,09","$0,09",V$426.479.880,$384.200,77
,,,,,,,,,,,,,,
,SO5D,LETRAS TESORO NAC,24 hs.,28/10/2025 17:00,Dólar Estadounidense,"-1,11%","$0,09","$0,09","$0,09","$0,09","$0,09",V$47.771.898,$42.921,125
,,,,,,,,,,,,,,
,SO5X,LETRAS TESORO NAC,Inmed.,28/10/2025 16:51,Pesos Argentinos,"0,00%","$132,79","$0,00","$131,92","$133,32","$130,59",V$55.982.489.961,$73.845.117.296,19
,,,,,,,,,,,,,,
,SO5X,LETRAS TESORO NAC,24 hs.,28/10/2025 16:27,Pesos Argentinos,"0,00%","$132,15","$0,00","$132,18","$132,49","$131,87",V$228.832.003.179,$302.502.796.457,11
,,,,,,,,,,,,,,
,SO5Y,LETRAS TESORO NAC,Inmed.,28/10/2025 13:48,Dólar Estadounidense,"0,00%","$0,09","$0,00","$0,09","$0,09","$0,09",V$1.105.006.106,$1.000.000,2
,,,,,,,,,,,,,,
,SO5Y,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Estadounidense,"0,00%","$0,00","$0,00","$0,09","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,SO5Z,LETRAS TESORO NAC,Inmed.,28/10/2025 16:33,Dólar Cable,"0,00%","$0,09","$0,00","$0,09","$0,09","$0,09",V$2.609.805.924,$2.300.000,5
,,,,,,,,,,,,,,
,SO5Z,LETRAS TESORO NAC,24 hs.,28/10/2025 15:46,Dólar Cable,"0,00%","$0,09","$0,00","$0,09","$0,09","$0,09",V$337.078.652,$300.000,1
,,,,,,,,,,,,,,
